name,rating,num_of_ratings,price,size,resolution,refresh_rate
"Sceptre 20 inch LED Monitor 1600 x 900 HD+ 75Hz HDMI VGA Build-in Speakers, 99% sRGB Wall Mount Ready Black 2021 (E205W-16003RTT),15 Inch Triple Portable Monitor - FOPO FHD 1080P HDR IPS Laptop Monitor Screen Extender for Dual Monitor Display, for 15""-17"" Laptops & Switch/Xbox/Phone, Support Windows/MAC System, Type-C/HDMI Port,Dell SE2722HX - 27-inch FHD (1920 x 1080) 16:9 Monitor with Comfortview (TUV-Certified), 75Hz Refresh Rate, 16.7 Million Colors, Anti-Glare with 3H Hardness, Black,HP V20 HD+ Monitor | 19.5-inch Diagonal HD+ Computer Monitor with TN Panel and Blue Light Settings | HP Monitor with Tiltable Screen HDMI and VGA Port | (1H848AA#ABA), Black,Sceptre Curved 24"" 75Hz Professional LED Monitor 1080p 98% sRGB HDMI VGA Build-in Speakers, Machine Black 2021,HP V28 4K Monitor - Computer Monitor with 28-inch Diagonal Display, 3840 x 2160 at 60 Hz, and 1ms Response Time - AMD Freesync Technology - Dual HDMI and DisplayPort - Low Blue Light - 8WH57AA#ABA,Acer UM.XV6AA.A01 18.5-Inch Screen LCD Monitor,Black,LG 32ML600M-B 32” Inch Full HD IPS LED Monitor with HDR 10 - Black,SAMSUNG T350 Series 27-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, VGA (D-Sub), 3-Sided Border-Less, FreeSync (LF27T350FHNXZA),HP V223ve FHD Monitor, 1080p VA Display,75Hz Refresh Rate, 21.5-inch Computer Screen,TÜV certified Low Blue Light Mode, Ergonomic Tilt,3000:1 Contrast Ratio,HDMI & VGA Ports,VESA Mounting (2021),Black,HP FHD IPS Monitor with Tilt Adjustment and Anti-Glare Panel- 32-Inch, Black/Silver,HP V24 24 Inch FHD LED-Backlit LCD 2-Pack Monitor Bundle with HDMI, Dual Monitor Stand, FreeSync, MK270 Wireless Keyboard and Mouse Combo, Gel Pad,Dell S2721HS Full HD 1920 x 1080p, 75Hz IPS LED LCD Thin Bezel Adjustable Gaming Monitor, 4ms Grey-to-Grey Response Time, 16.7 Million Colors, HDMI ports, AMD FreeSync, Platinum Silver,HP M27ha FHD Monitor-Full HD Monitor(1920 x 1080p)- IPS Panel and Built-in Audio-VESA Compatible 27-inch Monitor Designed for Comfortable Viewing with Height and Pivot Adjustment-(22H94AA#ABA) black,LG 34WN650-W UltraWide Monitor 34"" 21:9 FHD (2560 x 1080) IPS Display, VESA DisplayHDR 400, AMD FreeSync, 3-Side Virtually Borderless Design - Silver,Dell 24 Inch PC Monitor SE2419Hx IPS Full HD (1920 x 1080) Monitor, Black","4.1 out of 5 stars,4.1 out of 5 stars,4.7 out of 5 stars,4.4 out of 5 stars,4.6 out of 5 stars,4.2 out of 5 stars,3.8 out of 5 stars,4.6 out of 5 stars,4.6 out of 5 stars,4.6 out of 5 stars,4.7 out of 5 stars,4.3 out of 5 stars,4.7 out of 5 stars,4.7 out of 5 stars,4.7 out of 5 stars,4.7 out of 5 stars","280,7,984,1,184,2,228,164,42,2,669,1,755,599,1,305,21,41,3,350,624,3,393","119,.,649,.,177,.,79,.,129,.,229,.,84,.,249,.,159,.,124,.,209,.,499,.,224,.,176,.,349,.,201,.","20 inches,15 inches,27 inches,19.5 inches,24 inches,28 inches,18.5 inches,31.5 inches,27 inches,21.5 inches,31.5 inches,24 inches,27 inches,27 inches,34 inches,24 inches","HD+,FHD 1080p,FHD 1080p,FHD 1080p,VGA, FHD 1080p,4K UHD 1600p Ultra Wide,XGA Wide,FHD 1080p,FHD 1080p,FHD 1080p,FHD 1080p,FHD 1080p,FHD 1080p,FHD 1080p,FHD 1080p Ultra Wide,FHD 1080p","75 hertz,60 hertz,75 hertz,60 hertz,75 hertz,60 hertz,60 hertz,75 hertz,75 hertz,75 hertz,60 hertz,75 hertz,75 hertz,60 hertz,75 hertz,60 hertz"
"Sceptre 20 inch LED Monitor 1600 x 900 HD+ 75Hz HDMI VGA Build-in Speakers, 99% sRGB Wall Mount Ready Black 2021 (E205W-16003RTT)",4.1 out of 5 stars,280,"119,.",20 inches,HD+,75 hertz
,,,,,,
"Sceptre 20 inch LED Monitor 1600 x 900 HD+ 75Hz HDMI VGA Build-in Speakers, 99% sRGB Wall Mount Ready Black 2021 (E205W-16003RTT)",4.1 out of 5 stars,280,"119,.",20 inches,HD+,75 hertz
,,,"119,.",,,
,,,,20 inches,HD+,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
